x,y,z
11124.61,53996.71,144.1
11132.84,53984.43,144.5
11138.32,53976.21,144.5
11146.7,53961.42,144.7
11151.39,53951.26,145.0
11154.63,53939.2,145.3
11153.56,53928.18,145.2
11153.8,53917.43,145.5
11153.44,53909.84,145.2
11163.78,53899.49,145.3
11173.83,53888.19,148.1
11182.37,53895.12,148.1
11158.95,53967.76,144.7
11168.68,53947.01,145.1
11175.49,53929.56,145.3
11175.92,53909.64,145.3
11151.84,53997.53,144.4
11163.13,53980.23,145.0
11176.58,53959.07,145.1
11187.49,53946.13,145.3
11191.04,53935.75,145.5
11195.32,53917.73,145.5
11185.84,53902.55,145.3
11169.94,53890.52,145.3
11190.38,53898.24,170.2
11198.64,53905.31,161.3
11204.21,53918.46,160.4
11200.93,53929.86,159.2
11198.82,53938.9,157.6
11196.3,53949.13,157.5
11182.58,53964.7,154.4
11169.78,53984.45,150.8
11152.95,54000.08,147.3
11141.03,54010.27,144.6
11101.14,54095.56,156.1
11091.71,54102.77,155.1
11120.74,54044.07,145.2
11115.87,54057.02,144.9
11128.43,54038.86,144.6
11101.83,54072.57,144.4
11085.07,54084.25,144.7
11068.6,54102.17,145.0
11089.42,54097.91,145.0
11095.51,54091.43,145.0
11100.96,54085.72,145.0
11109.79,54075.91,144.7
11117.37,54065.05,144.7
11126.94,54054.22,145.0
11134.09,54044.72,144.8
11140.17,54035.11,145.3
11150.35,54026.66,145.3
11156.02,54019.79,145.6
11160.69,54015.13,146.0
11163.73,54008.47,147.2
11173.24,53998.35,149.2
11179.34,53989.93,150.7
11193.14,53972.81,154.1
11208.02,53951.14,157.6
11217.45,53939.2,159.3
10813.83,54115.05,62.8
10874.8,53936.43,61.6
10855.63,54001.57,62.2
10854.53,54014.5,62.3
10855.18,54022.81,62.5
10852.26,54035.05,62.5
10849.87,54041.97,62.7
10844.56,54049.41,62.7
10834.99,54058.58,62.7
10829.88,54062.19,62.7
10826.9,54070.35,63.0
10821.78,54083.42,63.0
10816.74,54093.76,62.9
10803.8,54128.71,62.8
10791.0,54140.94,62.7
10778.28,54148.8,62.8
10765.55,54158.74,62.8
10753.31,54172.41,62.6
10813.27,54128.91,74.5
10819.69,54121.98,74.5
10823.75,54115.86,74.3
10826.71,54107.49,73.8
10829.43,54096.48,73.8
10833.19,54086.53,73.6
10836.34,54078.17,73.6
10840.77,54068.73,73.8
10846.01,54064.99,73.9
10849.61,54058.8,73.4
10855.14,54052.7,73.4
10858.26,54044.56,73.2
10861.2,54035.45,73.1
10862.35,54027.86,73.3
10863.68,54018.44,73.3
10862.3,54003.48,73.2
10689.53,54187.63,49.1
10660.36,54186.68,48.8
10811.65,54017.75,47.9
10795.27,54030.23,49.1
10790.3,54047.18,49.0
10786.53,54060.7,49.2
10777.77,54073.46,49.3
10775.2,54089.25,49.2
10766.34,54106.25,49.4
10757.92,54117.29,49.3
10754.1,54126.05,49.3
10749.09,54132.85,49.3
10738.26,54140.57,49.4
10731.21,54151.27,49.5
10720.71,54157.9,49.5
10714.1,54162.57,49.5
10710.19,54182.43,49.4
10701.99,54195.42,49.3
10697.35,54203.12,49.3
10688.51,54208.37,49.3
10671.55,54206.27,49.3
10676.84,54192.41,48.9
10658.18,54201.8,49.4
10643.96,54191.26,49.0
10637.63,54172.66,50.2
10729.73,54163.35,62.6
10724.98,54177.45,62.5
10719.5,54192.73,62.7
10713.28,54204.56,62.7
10706.86,54211.31,62.8
10696.68,54216.88,62.2
10686.07,54221.83,62.6
10677.42,54221.9,62.6
10667.88,54218.41,62.2
10658.0,54219.07,62.1
10648.47,54214.75,62.3
10639.85,54208.94,62.2
10633.94,54201.43,62.2
10626.01,54186.47,62.8
10622.04,54172.33,62.8
10532.09,54059.28,35.9
10502.79,54088.84,36.0
10516.34,54074.84,36.1
10481.11,54084.17,37.1
10495.22,54095.96,36.8
10501.78,54098.75,36.6
10513.73,54103.22,36.6
10527.72,54095.81,36.0
10500.59,54109.71,45.8
10491.09,54105.69,46.0
10485.36,54098.54,46.1
10738.25,54281.84,76.0
10749.82,54296.15,75.2
10752.01,54326.44,74.6
10767.22,54275.11,75.6
10755.39,54257.44,75.6
10777.29,54254.19,75.2
10779.79,54237.46,74.6
10784.99,54208.28,75.5
10793.16,54199.23,75.3
10805.83,54202.22,75.0
10810.95,54182.24,75.3
10811.11,54252.92,85.6
10816.28,54246.17,85.5
10823.96,54234.02,85.5
10829.45,54224.72,86.4
10836.4,54217.3,86.7
10839.74,54208.85,86.6
10841.82,54201.54,86.7
10853.32,54188.77,86.7
10855.3,54183.54,86.6
10861.8,54171.19,86.5
10864.54,54164.17,86.6
10867.56,54156.77,86.4
10872.79,54158.78,98.6
10870.45,54164.71,98.8
10865.91,54172.69,98.8
10863.22,54181.71,98.9
10858.64,54191.21,99.0
10851.46,54203.77,98.8
10844.28,54215.38,98.7
10838.27,54225.78,98.5
